country,iso3,year,prod_value
United Republic of Tanzania,TZA,2008,166727218
United Republic of Tanzania,TZA,2007,156529639
United Republic of Tanzania,TZA,2006,162293180
United Republic of Tanzania,TZA,2005,142250395
United Republic of Tanzania,TZA,2004,145257952
United Republic of Tanzania,TZA,2003,109434325
United Republic of Tanzania,TZA,2002,142093357
United States of America,USA,2018,4112591490
United States of America,USA,2017,4149779102
United States of America,USA,2016,4623571603
United States of America,USA,2015,4107834668
United States of America,USA,2014,4168358334
United States of America,USA,2013,4126554306
United States of America,USA,2012,3630519347
United States of America,USA,2011,3753600438
United States of America,USA,2010,3853970932
United States of America,USA,2009,4013493974
United States of America,USA,2008,3855056520
Uruguay,URY,2018,23103792
Uruguay,URY,2017,29926014
Uruguay,URY,2016,30366522
Uruguay,URY,2015,30463164
Uruguay,URY,2014,33666546
Uruguay,URY,2013,29141922
Uruguay,URY,2012,37533174
Uruguay,URY,2011,31707912
Uruguay,URY,2010,32436666
Uruguay,URY,2009,30788898
Uruguay,URY,2008,26077272
Uruguay,URY,2007,25218252
Uruguay,URY,2006,23056752
Uruguay,URY,2005,23053116
Uruguay,URY,2003,17910534
Uruguay,URY,2002,17334216
Venezuela (Bolivarian Republic of),VEN,2015,86563938
Venezuela (Bolivarian Republic of),VEN,2014,98963298
Venezuela (Bolivarian Republic of),VEN,2013,99404502
Venezuela (Bolivarian Republic of),VEN,2012,95633568
Venezuela (Bolivarian Republic of),VEN,2011,99702300
Venezuela (Bolivarian Republic of),VEN,2010,97915254
Venezuela (Bolivarian Republic of),VEN,2009,104096064
Venezuela (Bolivarian Republic of),VEN,2008,108970476
Venezuela (Bolivarian Republic of),VEN,2007,115316694
Viet Nam,VNM,2011,644558187
Viet Nam,VNM,2010,615553806
Viet Nam,VNM,2009,596045996
Viet Nam,VNM,2008,604646455
Viet Nam,VNM,2007,583426032
Viet Nam,VNM,2006,569391935
Viet Nam,VNM,2005,546453285
Viet Nam,VNM,2003,529842600
Viet Nam,VNM,2002,516247858
Yemen,YEM,2011,17848320
Yemen,YEM,2010,20367666
Yemen,YEM,2009,17538072
Yemen,YEM,2006,16356828
Yemen,YEM,2005,13962900
Yemen,YEM,2004,13047612
Yemen,YEM,2003,13387266
Zambia,ZMB,2017,78196248
Zambia,ZMB,2016,63805380
Zambia,ZMB,2015,53876238
Zambia,ZMB,2014,59345316
Zambia,ZMB,2011,52130574
Zambia,ZMB,2010,51383556
Zambia,ZMB,2009,43750212
Zambia,ZMB,2008,31454244
Zambia,ZMB,2007,33566574
Zambia,ZMB,2006,34016946
Zambia,ZMB,2005,29459760
Zambia,ZMB,2004,31258722
Zambia,ZMB,2003,30801288
Zambia,ZMB,2002,26775588
Zimbabwe,ZWE,2011,35521780
Zimbabwe,ZWE,2010,34332900
Zimbabwe,ZWE,2009,28181230
Zimbabwe,ZWE,2008,28518084
Zimbabwe,ZWE,2005,41438481
Zimbabwe,ZWE,2004,54402754
Zimbabwe,ZWE,2003,46479027
Zimbabwe,ZWE,2002,36822653
